name,temperament,origin,country_code,description,life_span,indoor,alt_names,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,experimental,hairless,natural,rare,rex,suppressed_tail,short_legs,wikipedia_url,hypoallergenic,image,weight_lb,weight_kg
Burmilla,"Easy Going, Friendly, Intelligent, Lively, Playful, Social",United Kingdom,GBR,"The Burmilla is a fairly placid cat. She tends to be an easy cat to get along with, requiring minimal care. The Burmilla is affectionate and sweet and makes a good companion, the Burmilla is an ideal companion to while away a lonely evening. Loyal, devoted, and affectionate, this cat will stay by its owner, always keeping them company.",10-15,0.0,,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Burmilla,0.0,https://cdn2.thecatapi.com/images/jvg3XfEdC.jpg,6-13,3-6
California Spangled,"Affectionate, Curious, Intelligent, Loyal, Social",United States,USA,"Perhaps the only thing about the California spangled cat that isn’t wild-like is its personality. Known to be affectionate, gentle and sociable, this breed enjoys spending a great deal of time with its owners. They are very playful, often choosing to perch in high locations and show off their acrobatic skills.",10-14,0.0,Spangle,5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/California_Spangled,0.0,https://cdn2.thecatapi.com/images/B1ERTmgph.jpg,10-15,5-7
Chantilly-Tiffany,"Affectionate, Demanding, Interactive, Loyal",United States,USA,"The Chantilly is a devoted companion and prefers company to being left alone. While the Chantilly is not demanding, she will ""chirp"" and ""talk"" as if having a conversation. This breed is affectionate, with a sweet temperament. It can stay still for extended periods, happily lounging in the lap of its loved one. This quality makes the Tiffany an ideal traveling companion, and an ideal house companion for senior citizens and the physically handicapped.",14-16,0.0,"Chantilly, Foreign Longhair",5.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Chantilly-Tiffany,0.0,https://cdn2.thecatapi.com/images/TR-5nAd_S.jpg,7-12,3-5
Chartreux,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",France,FRA,"The Chartreux is generally silent but communicative. Short play sessions, mixed with naps and meals are their perfect day. Whilst appreciating any attention you give them, they are not demanding, content instead to follow you around devotedly, sleep on your bed and snuggle with you if you’re not feeling well.",12-15,0.0,,5.0,5.0,4.0,5.0,2.0,1.0,2.0,4.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/Chartreux,1.0,https://cdn2.thecatapi.com/images/j6oFGLpRG.jpg,6-15,3-7
Chausie,"Affectionate, Intelligent, Playful, Social",Egypt,EGY,"For those owners who desire a feline capable of evoking the great outdoors, the strikingly beautiful Chausie retains a bit of the wild in its appearance but has the house manners of our friendly, familiar moggies. Very playful, this cat needs a large amount of space to be able to fully embrace its hunting instincts.",12-14,0.0,Nile Cat,5.0,5.0,4.0,5.0,4.0,3.0,1.0,5.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Chausie,0.0,https://cdn2.thecatapi.com/images/vJ3lEYgXr.jpg,7-15,3-7
Cheetoh,"Affectionate, Gentle, Intelligent, Social",United States,USA,"The Cheetoh has a super affectionate nature and real love for their human companions; they are intelligent with the ability to learn quickly. You can expect that a Cheetoh will be a fun-loving kitty who enjoys playing, running, and jumping through every room in your house.",12-14,0.0,,5.0,5.0,4.0,5.0,4.0,1.0,1.0,5.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Bengal_cat#Cheetoh,0.0,https://cdn2.thecatapi.com/images/IFXsxmXLm.jpg,8-15,4-7
Colorpoint Shorthair,"Affectionate, Intelligent, Playful, Social",United States,USA,"Colorpoint Shorthairs are an affectionate breed, devoted and loyal to their people. Sensitive to their owner’s moods, Colorpoints are more than happy to sit at your side or on your lap and purr words of encouragement on a bad day. They will constantly seek out your lap whenever it is open and in the moments when your lap is preoccupied they will stretch out in sunny spots on the ground.",12-16,0.0,,3.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Colorpoint_Shorthair,0.0,https://cdn2.thecatapi.com/images/oSpqGyUDS.jpg,4-10,2-5
Cornish Rex,"Affectionate, Intelligent, Active, Curious, Playful",United Kingdom,GBR,"This is a confident cat who loves people and will follow them around, waiting for any opportunity to sit in a lap or give a kiss. He enjoys being handled, making it easy to take him to the veterinarian or train him for therapy work. The Cornish Rex stay in kitten mode most of their lives and well into their senior years. ",11-14,0.0,,5.0,5.0,4.0,5.0,5.0,1.0,2.0,5.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/Cornish_Rex,1.0,https://cdn2.thecatapi.com/images/unX21IBVB.jpg,5-9,2-4
Cymric,"Gentle, Loyal, Intelligent, Playful",Canada,CAN,"The Cymric is a placid, sweet cat. They do not get too upset about anything that happens in their world. They are loving companions and adore people. They are smart and dexterous, capable of using his paws to get into cabinets or to open doors.",8-14,0.0,Spangle,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/Cymric_(cat),0.0,https://cdn2.thecatapi.com/images/3dbtapCWM.jpg,8-13,4-6
Cyprus,"Affectionate, Social",Cyprus,CYP,"Loving, loyal, social and inquisitive, the Cyprus cat forms strong ties with their families and love nothing more than to be involved in everything that goes on in their surroundings. They are not overly active by nature which makes them the perfect companion for people who would like to share their homes with a laid-back relaxed feline companion. ",12-15,0.0,Cypriot cat,5.0,5.0,4.0,5.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Cyprus_cat,0.0,https://cdn2.thecatapi.com/images/tJbzb7FKo.jpg,8-16,4-7
Devon Rex,"Highly interactive, Mischievous, Loyal, Social, Playful",United Kingdom,GBR,"The favourite perch of the Devon Rex is right at head level, on the shoulder of her favorite person. She takes a lively interest in everything that is going on and refuses to be left out of any activity. Count on her to stay as close to you as possible, occasionally communicating his opinions in a quiet voice. She loves people and welcomes the attentions of friends and family alike.",10-15,0.0,"Pixie cat, Alien cat, Poodle cat",5.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/Devon_Rex,1.0,https://cdn2.thecatapi.com/images/4RzEwvyzz.png,5-10,2-5
Donskoy,"Playful, affectionate, loyal, social",Russia,RUS,"Donskoy are affectionate, intelligent, and easy-going. They demand lots of attention and interaction. The Donskoy also gets along well with other pets. It is now thought the same gene that causes degrees of hairlessness in the Donskoy also causes alterations in cat personality, making them calmer the less hair they have.",12-15,0.0,,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,5.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Donskoy_(cat),0.0,https://cdn2.thecatapi.com/images/3KG57GfMW.jpg,10-12,5-6
Dragon Li,"Intelligent, Friendly, Gentle, Loving, Loyal",China,CHN,"The Dragon Li is loyal, but not particularly affectionate. They are known to be very intelligent, and their natural breed status means that they're very active. She is is gentle with people, and has a reputation as a talented hunter of rats and other vermin.",12-15,1.0,"Chinese Lia Hua, Lí hua māo (貍花貓), Li Hua",3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Dragon_Li,0.0,https://cdn2.thecatapi.com/images/BQMSld0A0.jpg,9-12,4-6
Egyptian Mau,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",Egypt,EGY,"The Egyptian Mau is gentle and reserved. She loves her people and desires attention and affection from them but is wary of others. Early, continuing socialization is essential with this sensitive and sometimes shy cat, especially if you plan to show or travel with her. Otherwise, she can be easily startled by unexpected noises or events.",18-20,0.0,Pharaoh Cat,2.0,5.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Egyptian_Mau,0.0,https://cdn2.thecatapi.com/images/TuSyTkt2n.jpg,6-14,3-6
European Burmese,"Sweet, Affectionate, Loyal",Burma,MMR,"The European Burmese is a very affectionate, intelligent, and loyal cat. They thrive on companionship and will want to be with you, participating in everything you do. While they might pick a favorite family member, chances are that they will interact with everyone in the home, as well as any visitors that come to call. They are inquisitive and playful, even as adults. ",10-15,0.0,,5.0,5.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Burmese_cat,0.0,https://upload.wikimedia.org/wikipedia/commons/5/5c/British_burmese_-_Andel_Alois_at_Cat_show.JPG,7-14,3-6
Exotic Shorthair,"Affectionate, Sweet, Loyal, Quiet, Peaceful",United States,USA,"The Exotic Shorthair is a gentle friendly cat that has the same personality as the Persian. They love having fun, don’t mind the company of other cats and dogs, also love to curl up for a sleep in a safe place. Exotics love their own people, but around strangers they are cautious at first. Given time, they usually warm up to visitors.",12-15,0.0,Exotic,5.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Exotic_Shorthair,0.0,https://cdn2.thecatapi.com/images/YnPrYEmfe.jpg,7-14,3-6
Havana Brown,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",United Kingdom,GBR,"The Havana Brown is human oriented, playful, and curious. She has a strong desire to spend time with her people and involve herself in everything they do. Being naturally inquisitive, the Havana Brown reaches out with a paw to touch and feel when investigating curiosities in its environment. They are truly sensitive by nature and frequently gently touch their human companions as if they are extending a paw of friendship.",10-15,0.0,"Havana, HB",5.0,5.0,4.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Havana_Brown,0.0,https://cdn2.thecatapi.com/images/njK25knLH.jpg,6-10,3-5
Himalayan,"Dependent, Gentle, Intelligent, Quiet, Social",United States,USA,"Calm and devoted, Himalayans make excellent companions, though they prefer a quieter home. They are playful in a sedate kind of way and enjoy having an assortment of toys. The Himalayan will stretch out next to you, sleep in your bed and even sit on your lap when she is in the mood.",9-15,0.0,"Himalayan Persian, Colourpoint Persian, Longhaired Colourpoint, Himmy",5.0,5.0,2.0,2.0,1.0,5.0,3.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Himalayan_(cat),0.0,https://cdn2.thecatapi.com/images/CDhOtM-Ig.jpg,7-14,3-6
Japanese Bobtail,"Active, Agile, Clever, Easy Going, Intelligent, Lively, Loyal, Playful, Social",Japan,JPN,"The Japanese Bobtail is an active, sweet, loving and highly intelligent breed. They love to be with people and play seemingly endlessly. They learn their name and respond to it. They bring toys to people and play fetch with a favorite toy for hours. Bobtails are social and are at their best when in the company of people. They take over the house and are not intimidated. If a dog is in the house, Bobtails assume Bobtails are in charge.",14-16,0.0,Japanese Truncated Cat,5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/Japanese_Bobtail,0.0,https://cdn2.thecatapi.com/images/-tm9-znzl.jpg,5-10,2-5
Javanese,"Active, Devoted, Intelligent, Playful",United States,USA,"Javanese are endlessly interested, intelligent and active. They tend to enjoy jumping to great heights, playing with fishing pole-type or other interactive toys and just generally investigating their surroundings. He will attempt to copy things you do, such as opening doors or drawers.",10-12,0.0,,4.0,5.0,4.0,4.0,5.0,1.0,3.0,5.0,2.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Javanese_cat,1.0,https://cdn2.thecatapi.com/images/xoI_EpOKe.jpg,5-10,2-5
Khao Manee,"Calm, Relaxed, Talkative, Playful, Warm",Thailand,THA,"The Khao Manee is highly intelligent, with an extrovert and inquisitive nature, however they are also very calm and relaxed, making them an idea lap cat.",10-12,0.0,Diamond Eye cat,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Khao_Manee,0.0,https://cdn2.thecatapi.com/images/165ok6ESN.jpg,8-12,4-6
Korat,"Active, Loyal, highly intelligent, Expressive, Trainable",Thailand,THA,"The Korat is a natural breed, and one of the oldest stable cat breeds. They are highly intelligent and confident cats that can be fearless, although they are startled by loud sounds and sudden movements. Korats form strong bonds with their people and like to cuddle and stay nearby.",10-15,0.0,,5.0,5.0,4.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Korat,0.0,https://cdn2.thecatapi.com/images/DbwiefiaY.png,7-11,3-5
Kurilian,"Independent, highly intelligent, clever, inquisitive, sociable, playful, trainable",Russia,RUS,"The character of the Kurilian Bobtail is independent, highly intelligent, clever, inquisitive, sociable, playful, trainable, absent of aggression and very gentle. They are devoted to their humans and when allowed are either on the lap of or sleeping in bed with their owners.",15-20,0.0,,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/Kurilian_Bobtail,0.0,https://cdn2.thecatapi.com/images/NZpO4pU56M.jpg,8-15,4-7
LaPerm,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",Thailand,THA,"LaPerms are gentle and affectionate but also very active. Unlike many active breeds, the LaPerm is also quite content to be a lap cat. The LaPerm will often follow your lead; that is, if they are busy playing and you decide to sit and relax, simply pick up your LaPerm and sit down with it, and it will stay in your lap, devouring the attention you give it.",10-15,0.0,Si-Sawat,5.0,5.0,4.0,5.0,4.0,1.0,1.0,5.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/LaPerm,1.0,https://cdn2.thecatapi.com/images/aKbsEYjSl.jpg,6-10,3-5
Maine Coon,"Adaptable, Intelligent, Loving, Gentle, Independent",United States,USA,"They are known for their size and luxurious long coat Maine Coons are considered a gentle giant. The good-natured and affable Maine Coon adapts well to many lifestyles and personalities. She likes being with people and has the habit of following them around, but isn’t needy. Most Maine Coons love water and they can be quite good swimmers.",12-15,0.0,"Coon Cat, Maine Cat, Maine Shag, Snowshoe Cat, American Longhair, The Gentle Giants",5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Maine_Coon,0.0,https://cdn2.thecatapi.com/images/OOD3VXAQn.jpg,12-18,5-8
Malayan,"Affectionate, Interactive, Playful, Social",United Kingdom,GBR,"Malayans love to explore and even enjoy traveling by way of a cat carrier. They are quite a talkative and rather loud cat with an apparent strong will. These cats will make sure that you give it the attention it seeks and always seem to want to be held and hugged. They will constantly interact with people, even strangers. They love to play and cuddle.",12-18,0.0,Asian,5.0,5.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Asian_cat,0.0,https://upload.wikimedia.org/wikipedia/commons/a/a1/BrownVarientAsianCat.JPG,6-13,3-6
Manx,"Easy Going, Intelligent, Loyal, Playful, Social",Isle of Man,IMN,"The Manx is a placid, sweet cat that is gentle and playful. She never seems to get too upset about anything. She is a loving companion and adores being with people.",12-14,0.0,"Manks, Stubbin, Rumpy",5.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/Manx_(cat),0.0,https://cdn2.thecatapi.com/images/fhYh2PDcC.jpg,7-13,3-6
Munchkin,"Agile, Easy Going, Intelligent, Playful",United States,USA,The Munchkin is an outgoing cat who enjoys being handled. She has lots of energy and is faster and more agile than she looks. The shortness of their legs does not seem to interfere with their running and leaping abilities.,10-15,0.0,,5.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://en.wikipedia.org/wiki/Munchkin_(cat),0.0,https://cdn2.thecatapi.com/images/j5cVSqLer.jpg,5-9,2-4
Nebelung,"Gentle, Quiet, Shy, Playful",United States,USA,"The Nebelung may have a reserved nature, but she loves to play (being especially fond of retrieving) and enjoys jumping or climbing to high places where she can study people and situations at her leisure before making up her mind about whether she wants to get involved.",11-16,0.0,Longhaired Russian Blue,5.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Nebelung,0.0,https://cdn2.thecatapi.com/images/OGTWqNNOt.jpg,7-11,3-5
